#ID	column	count
X1	total_pairs	64721837
X1	genome_1	2949899 
X1	genome_2	4388310 
X2	total_pairs	49357870
X2	genome_1	3533586 
X2	genome_2	1798045 
X3	total_pairs	67256501
X3	genome_1	1994788 
X3	genome_2	5283730 
X4	total_pairs	61529573
X4	genome_1	2873402 
X4	genome_2	2910289 
X5	total_pairs	89228461
X5	genome_1	2640950 
X5	genome_2	3480431 
X6	total_pairs	67925605
X6	genome_1	2165790 
X6	genome_2	5332556 
X7	total_pairs	50529463
X7	genome_1	2792827 
X7	genome_2	3203837 
X8	total_pairs	76235178
X8	genome_1	3037918 
X8	genome_2	3167491 
